entrevista,source,target,etiqueta,n
\171-VI-00007.json,Madrid,Cali,N81 Exilio - Trayectorias|,3
\194-VI-00055.json,Bogotá,Bogotá,N2 Estado - Judicialización|N81 Exilio - Afrontamientos individuales|,3
\348-VI-00001.json,Colombia,Canadá,N81 Exilio - Afrontamientos colectivos - P país de acogida|,3
\001-VI-00013.json,Bulgaria,Colombia,Afrontamientos - Silencio|N81 Exilio - Trayectorias  - Reasentamiento|,2
\001-VI-00013.json,Portugal,Bulgaria,N81 Exilio - Trayectorias  - Reasentamiento|,2
\001-VI-00016.json,Antioquia,Puerto Berrío,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,2
\088-AA-00004.json,La Guajira,Colombia,N81 Exilio - Retorno|N81 Exilio - Estatus migratorio - Con protección internacional|N3 Actores - Experiencia Posdesmovilización|,2
\088-AA-00004.json,Panamá,Chile,N81 Exilio - Estatus migratorio - Con protección internacional|,2
\088-AA-00004.json,Riohacha,Bogotá,N81 Exilio - Retorno - Voluntario|,2
\101-VI-00011.json,Venezuela,Colombia,N81 Exilio - Estatus migratorio - Con protección internacional|,2
\101-VI-00014.json,Colombia,Cali,Hechos - Amenaza a la Vida - Amenaza Verbal|N81 Exilio - Retorno - Pendular|,2
\101-VI-00014.json,Ecuador,Cali,N81 Exilio - Retorno - Pendular|Hechos - Amenaza a la Vida - Amenaza Verbal|N42 Despojo - Causas del desplazamiento/abandono/confinamiento - Por accionar de actores armados|,2
\124-VI-00005.json,Tel Aviv,Madrid,N81 Exilio - Trayectorias|Hechos - Exilio|,2
\126-VI-00017.json,Madrid,España,N81 Exilio - Relaciones cultura de acogida|,2
\168-VI-00010.json,Cúcuta,Cúcuta,N81 Exilio - Estatus migratorio - Deportación|,2
\168-VI-00010.json,Táchira,Cúcuta,N81 Exilio - Estatus migratorio - Migrantes irregulares|,2
\168-VI-00010.json,Ureña,Cúcuta,N81 Exilio - Estatus migratorio - Migrantes irregulares|,2
\168-VI-00010.json,Venezuela,Cúcuta,N81 Exilio - Exilio - Víctimas exterior|,2
\168-VI-00010.json,Venezuela,Cúcuta,N81 Exilio - Políticas|,2
\171-VI-00007.json,Bogotá,Cali,N81 Exilio - Trayectorias|,2
\171-VI-00007.json,Cali,Bogotá,N81 Exilio - Trayectorias|,2
\171-VI-00007.json,Cali,Cali,N81 Exilio - Trayectorias|,2
\199-VI-00016.json,Orito,Ecuador,N81 Exilio - Retorno - Forzado|,2
\199-VI-00016.json,Puerto Asís,Ecuador,N81 Exilio - Retorno - Forzado|,2
\199-VI-00024.json,Colombia,Putumayo,Afrontamientos - Personales|N81 Exilio - Víctimas exterior|,2
\199-VI-00024.json,Ecuador,Putumayo,Afrontamientos - Personales|N81 Exilio - Víctimas exterior|,2
\199-VI-00052.json,Venezuela,Venezuela,N81 Exilio - Retorno - Voluntario|,2
\348-VI-00001.json,Canadá,Canadá,N81 Exilio - Retorno - Voluntario|,2
\001-VI-00001.json,Australia,Holanda,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,Australia,Suecia,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,Cataluña,Australia,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,Cataluña,Holanda,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,Cataluña,Suecia,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,Iparralde,Australia,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,Iparralde,Cataluña,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,Iparralde,Holanda,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,Iparralde,País Vasco,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,Iparralde,Suecia,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,País Vasco,Australia,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,País Vasco,Cataluña,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,País Vasco,Holanda,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,País Vasco,Suecia,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00001.json,Suecia,Holanda,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00008.json,Assens,Bélgica,N81 Exilio - Afrontamientos individuales - Arte|,1
\001-VI-00008.json,Assens,Liège,N81 Exilio - Afrontamientos individuales - Arte|,1
\001-VI-00008.json,Bélgica,Liège,N81 Exilio - Afrontamientos individuales - Arte|,1
\001-VI-00008.json,Budapest,Polonia,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\001-VI-00008.json,Moscú,Budapest,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\001-VI-00008.json,Moscú,Polonia,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\001-VI-00008.json,San Petersburgo,Budapest,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\001-VI-00008.json,San Petersburgo,Moscú,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\001-VI-00008.json,San Petersburgo,Polonia,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\001-VI-00008.json,Vaud,Assens,N81 Exilio - Afrontamientos individuales - Arte|,1
\001-VI-00008.json,Vaud,Bélgica,N81 Exilio - Afrontamientos individuales - Arte|,1
\001-VI-00008.json,Vaud,Liège,N81 Exilio - Afrontamientos individuales - Arte|,1
\001-VI-00010.json,Cantón del Valais,Ginebra,N81 Exilio - Víctimas exterior|,1
\001-VI-00010.json,Cantón del Valais,Suiza,N81 Exilio - Víctimas exterior|,1
\001-VI-00010.json,Ginebra,Suiza,N81 Exilio - Relaciones cultura de acogida|,1
\001-VI-00010.json,Sion,Martigny,N81 Exilio - Trayectorias|,1
\001-VI-00013.json,Bulgaria,Bulgaria,Afrontamientos - Silencio|N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00013.json,Bulgaria,Medellín,Afrontamientos - Silencio|N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00013.json,Bulgaria,Portugal,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\001-VI-00013.json,Colombia,Bulgaria,N81 Exilio - Trayectorias  - Reasentamiento|Impactos - Impacto Democracia - Afectaciones a Procesos organizativos|,1
\001-VI-00013.json,Colombia,Colombia,N81 Exilio - Trayectorias  - Reasentamiento|Impactos - Impacto Democracia - Afectaciones a Procesos organizativos|,1
\001-VI-00013.json,Colombia,Medellín,N81 Exilio - Trayectorias  - Reasentamiento|Impactos - Impacto Democracia - Afectaciones a Procesos organizativos|,1
\001-VI-00013.json,Medellín,Colombia,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00013.json,Medellín,Portugal,N81 Exilio - Trayectorias  - Reasentamiento|,1
\001-VI-00013.json,Portugal,Medellín,N81 Exilio - Trayectorias  - Reasentamiento|,1
\047-VI-00005.json,Colombia,Brasil,N81 Exilio - Estatus migratorio|,1
\047-VI-00007.json,Colombia,Ecuador,N81 Exilio - Estatus migratorio - Con protección internacional|,1
\047-VI-00013.json,Mocoa,Mocoa,N81 Exilio - Retorno - Pendular|,1
\058-VI-00004.json,Caracas,Venezuela,N81 Exilio - Afrontamientos individuales - Redes apoyo|,1
\058-VI-00004.json,Venezuela,Caracas,N81 Exilio - Afrontamientos colectivos - P organizaciones víctimas|,1
\058-VI-00004.json,Venezuela,Venezuela,N81 Exilio - Afrontamientos colectivos - P organizaciones víctimas|,1
\061-VI-00005.json,Santo Domingo,Lago Agrio,N81 Exilio|,1
\061-VI-00005.json,Santo Domingo,Pasto,N81 Exilio|,1
\065-VI-00005.json,Amazonas,Leticia,N81 Exilio - Retorno - Voluntario|Afrontamientos - Redes apoyo|,1
\065-VI-00005.json,Leticia,Iquitos,N81 Exilio - Retorno - Voluntario|Afrontamientos - Redes apoyo|,1
\065-VI-00005.json,Leticia,Perú,N81 Exilio - Retorno - Voluntario|Afrontamientos - Redes apoyo|,1
\065-VI-00005.json,Leticia,Quito,N81 Exilio - Retorno - Voluntario|Afrontamientos - Redes apoyo|,1
\065-VI-00005.json,Perú,Iquitos,N81 Exilio|N82 Dim. Internacionales - Violencias|,1
\088-AA-00004.json,Bogotá,Bogotá,N81 Exilio - Retorno - Voluntario|,1
\088-AA-00004.json,Chile,Bogotá,N81 Exilio - Estatus migratorio - Programas protección|N3 Actores - Experiencia Posdesmovilización|,1
\088-AA-00004.json,Chile,Chile,N81 Exilio - Estatus migratorio - Con protección internacional|,1
\088-AA-00004.json,Chile,Uruguay,N81 Exilio - Estatus migratorio - Programas protección|N3 Actores - Experiencia Posdesmovilización|,1
\088-AA-00004.json,La Guajira,La Guajira,N81 Exilio - Retorno|N81 Exilio - Estatus migratorio - Con protección internacional|N3 Actores - Experiencia Posdesmovilización|,1
\088-AA-00004.json,Panamá,Chile,N81 Exilio - Estatus migratorio - Con protección internacional|N3 Actores - Experiencia Posdesmovilización|,1
\088-AA-00004.json,Uruguay,Bogotá,N81 Exilio - Estatus migratorio - Programas protección|N3 Actores - Experiencia Posdesmovilización|,1
\101-VI-00011.json,Armenia,Bogotá,N81 Exilio - Estatus migratorio - Solicitante protección internacional|,1
\101-VI-00011.json,Armenia,Colombia,N81 Exilio - Relaciones cultura de acogida - Desarraigo|,1
\101-VI-00011.json,Armenia,Venezuela,N81 Exilio - Relaciones cultura de acogida - Desarraigo|,1
\101-VI-00011.json,Colombia,Venezuela,N81 Exilio - Relaciones cultura de acogida - Cambio identitario|,1
\101-VI-00011.json,Colombia,Venezuela,N81 Exilio - Relaciones cultura de acogida - Desarraigo|,1
\101-VI-00011.json,España,Francia,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\101-VI-00011.json,España,Francia,N81 Exilio - Trayectorias  - Reasentamiento|,1
\101-VI-00011.json,España,Venezuela,N81 Exilio - Trayectorias  - Reasentamiento|,1
\101-VI-00011.json,Francia,Venezuela,N81 Exilio - Trayectorias  - Reasentamiento|,1
\101-VI-00011.json,Liria,España,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\101-VI-00011.json,Liria,Francia,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\101-VI-00011.json,Montpellier,Francia,N81 Exilio - Impactos individuales - Autocensura|,1
\101-VI-00011.json,Quito,Francia,N81 Exilio - Afrontamientos individuales - Redes apoyo|,1
\101-VI-00011.json,Venezuela,Venezuela,N81 Exilio - Estatus migratorio - Con protección internacional|,1
\101-VI-00014.json,Ambato,Ibarra,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Ambato,Quito,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Ambato,Tulcán,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Canoas,Ambato,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Canoas,Ibarra,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Canoas,Latacunga,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Canoas,Quito,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Canoas,Tulcán,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Colombia,Corinto,Hechos - Amenaza a la Vida - Amenaza Verbal|N81 Exilio - Retorno - Pendular|,1
\101-VI-00014.json,Colombia,Cundinamarca,Hechos - Amenaza a la Vida - Amenaza Verbal|N81 Exilio - Retorno - Pendular|,1
\101-VI-00014.json,Colombia,Ecuador,Hechos - Amenaza a la Vida - Amenaza Verbal|N81 Exilio - Retorno - Pendular|,1
\101-VI-00014.json,Colombia,Estados Unidos,Hechos - Amenaza a la Vida - Amenaza Verbal|N81 Exilio - Retorno - Pendular|,1
\101-VI-00014.json,Colombia,Norte de Carolina,Hechos - Amenaza a la Vida - Amenaza Verbal|N81 Exilio - Retorno - Pendular|,1
\101-VI-00014.json,Colombia,Valle,Hechos - Amenaza a la Vida - Amenaza Verbal|N81 Exilio - Retorno - Pendular|,1
\101-VI-00014.json,Ecuador,Corinto,N81 Exilio - Retorno - Pendular|Hechos - Amenaza a la Vida - Amenaza Verbal|N42 Despojo - Causas del desplazamiento/abandono/confinamiento - Por accionar de actores armados|,1
\101-VI-00014.json,Ecuador,Cundinamarca,N81 Exilio - Retorno - Pendular|Hechos - Amenaza a la Vida - Amenaza Verbal|N42 Despojo - Causas del desplazamiento/abandono/confinamiento - Por accionar de actores armados|,1
\101-VI-00014.json,Ecuador,Estados Unidos,N81 Exilio - Retorno - Pendular|Hechos - Amenaza a la Vida - Amenaza Verbal|N42 Despojo - Causas del desplazamiento/abandono/confinamiento - Por accionar de actores armados|,1
\101-VI-00014.json,Ecuador,Norte de Carolina,N81 Exilio - Retorno - Pendular|Hechos - Amenaza a la Vida - Amenaza Verbal|N42 Despojo - Causas del desplazamiento/abandono/confinamiento - Por accionar de actores armados|,1
\101-VI-00014.json,Ecuador,Valle,N81 Exilio - Retorno - Pendular|Hechos - Amenaza a la Vida - Amenaza Verbal|N42 Despojo - Causas del desplazamiento/abandono/confinamiento - Por accionar de actores armados|,1
\101-VI-00014.json,España,Ecuador,N81 Exilio - Impactos familiares - Trauma transgeneracional|,1
\101-VI-00014.json,España,Venezuela,N81 Exilio - Impactos familiares - Trauma transgeneracional|,1
\101-VI-00014.json,Ibarra,Tulcán,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Latacunga,Ambato,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Latacunga,Ibarra,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Latacunga,Quito,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Latacunga,Tulcán,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Quito,Ibarra,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Quito,Tulcán,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,1
\101-VI-00014.json,Venezuela,Ecuador,N81 Exilio - Impactos familiares - Trauma transgeneracional|,1
\111-VI-00002.json,Barcelona,Barranquilla,N81 Exilio - Exilio - Víctimas exterior|N2 Estado - Impunidad|,1
\111-VI-00002.json,Bogotá,Bucaramanga,N81 Exilio - Exilio|,1
\111-VI-00002.json,Bogotá,España,N81 Exilio - Exilio|,1
\111-VI-00002.json,Bucaramanga,España,N81 Exilio - Exilio|,1
\111-VI-00002.json,Colombia,Bogotá,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\111-VI-00002.json,Colombia,Madrid,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\111-VI-00002.json,Madrid,Bilbao,N81 Exilio - Afrontamientos individuales - Arte|,1
\111-VI-00002.json,Madrid,Bogotá,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\111-VI-00002.json,Madrid,Bogotá,N81 Exilio - Trayectorias|,1
\111-VI-00002.json,Venezuela,Bogotá,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\111-VI-00002.json,Venezuela,Colombia,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\111-VI-00002.json,Venezuela,Madrid,N81 Exilio - Afrontamientos individuales - Adaptación|,1
\111-VI-00002.json,Venidor,Bilbao,N81 Exilio - Afrontamientos individuales - Arte|,1
\111-VI-00002.json,Venidor,Madrid,N81 Exilio - Afrontamientos individuales - Arte|,1
\112-VI-00014.json,Holanda,Europa,N81 Exilio - Afrontamientos colectivos - P política|,1
\112-VI-00014.json,Huston,Bélgica,N81 Exilio - Trayectorias|,1
\112-VI-00014.json,Huston,Matamoros,N81 Exilio - Trayectorias|,1
\112-VI-00014.json,Huston,Roseville,N81 Exilio - Trayectorias|,1
\112-VI-00014.json,Matamoros,Bélgica,N81 Exilio - Trayectorias|,1
\112-VI-00014.json,Nueva York,Bélgica,N81 Exilio - Afrontamientos colectivos - P política|N81 Exilio - Trayectorias|,1
\112-VI-00014.json,Nueva York,Huston,N81 Exilio - Afrontamientos colectivos - P política|N81 Exilio - Trayectorias|,1
\112-VI-00014.json,Nueva York,Matamoros,N81 Exilio - Afrontamientos colectivos - P política|N81 Exilio - Trayectorias|,1
\112-VI-00014.json,Nueva York,Roseville,N81 Exilio - Afrontamientos colectivos - P política|N81 Exilio - Trayectorias|,1
\112-VI-00014.json,Roseville,Bélgica,N81 Exilio - Trayectorias|,1
\112-VI-00014.json,Roseville,Matamoros,N81 Exilio - Trayectorias|,1
\112-VI-00014.json,Suecia,Europa,N81 Exilio - Afrontamientos colectivos - P política|,1
\112-VI-00014.json,Suecia,Holanda,N81 Exilio - Afrontamientos colectivos - P política|,1
\118-VI-00003.json,Brasil,Ecuador,N81 Exilio - Trayectorias|,1
\118-VI-00003.json,Brasil,Venezuela,N81 Exilio - Trayectorias|,1
\118-VI-00003.json,Bruselas,Londres,N81 Exilio - Trayectorias|,1
\118-VI-00003.json,Ecuador,Venezuela,N81 Exilio - Trayectorias|,1
\118-VI-00003.json,España,Bruselas,N81 Exilio - Trayectorias|,1
\118-VI-00003.json,Inglaterra,Bruselas,N81 Exilio - Trayectorias|,1
\118-VI-00003.json,Inglaterra,España,N81 Exilio - Trayectorias|,1
\118-VI-00003.json,Paris,Francia,N81 Exilio - Trayectorias|,1
\118-VI-00003.json,Venezuela,Ecuador,N81 Exilio - Impactos familiares - Trauma transgeneracional|,1
\118-VI-00005.json,La Habana,Maicao,N81 Exilio - Retorno - Políticas y programas|,1
\124-VI-00002.json,España,Buenaventura,N81 Exilio|,1
\124-VI-00005.json,Argentina,Madrid,N81 Exilio - Estatus migratorio - Solicitante protección internacional|,1
\124-VI-00005.json,Bogotá,Tel Aviv,N81 Exilio - Trayectorias|Hechos - Exilio|,1
\124-VI-00005.json,Cartagena,Cartagena,N81 Exilio - Trayectorias|Hechos - Exilio|,1
\124-VI-00005.json,Tel Aviv,Bogotá,N81 Exilio - Trayectorias|Hechos - Exilio|,1
\124-VI-00005.json,Tel Aviv,Tel Aviv,N81 Exilio - Trayectorias|Hechos - Exilio|,1
\124-VI-00005.json,Vallecas,Madrid,N81 Exilio - Estatus migratorio - Solicitante protección internacional|,1
\126-VI-00010.json,Colombia,España,N81 Exilio - Retorno - Forzado|,1
\126-VI-00010.json,Colombia,Francia,N81 Exilio - Retorno - Forzado|,1
\126-VI-00010.json,España,Francia,N81 Exilio - Retorno - Forzado|,1
\126-VI-00017.json,Barcelona,Suiza,N81 Exilio - Impactos familiares - Trauma transgeneracional|,1
\126-VI-00017.json,España,España,N81 Exilio - Relaciones cultura de acogida|,1
\126-VI-00017.json,España,Granada,N81 Exilio - Relaciones cultura de acogida|,1
\126-VI-00017.json,Madrid,Granada,N81 Exilio - Relaciones cultura de acogida|,1
\126-VI-00019.json,Palenque,Ovejas,N81 Exilio - Impactos individuales|,1
\126-VI-00019.json,San Cayetano,Ovejas,N81 Exilio - Impactos individuales|,1
\126-VI-00019.json,San Cayetano,Palenque,N81 Exilio - Impactos individuales|,1
\126-VI-00019.json,San Cayetano,Zambrano,N81 Exilio - Impactos individuales|,1
\126-VI-00019.json,Zambrano,Ovejas,N81 Exilio - Impactos individuales|,1
\126-VI-00019.json,Zambrano,Palenque,N81 Exilio - Impactos individuales|,1
\130-VI-00001.json,Argentina,Venezuela,N81 Exilio - Exilio|,1
\130-VI-00001.json,La Plata,Argentina,N81 Exilio - Afrontamientos colectivos - P organizaciones víctimas|N81 Exilio - Afrontamientos colectivos - P política|,1
\130-VI-00001.json,La Plata,Montevideo,N81 Exilio - Afrontamientos colectivos - P organizaciones víctimas|N81 Exilio - Afrontamientos colectivos - P política|,1
\130-VI-00001.json,La Plata,Portoalegre,N81 Exilio - Afrontamientos colectivos - P organizaciones víctimas|N81 Exilio - Afrontamientos colectivos - P política|,1
\130-VI-00001.json,La Plata,Venezuela,N81 Exilio - Afrontamientos colectivos - P organizaciones víctimas|N81 Exilio - Afrontamientos colectivos - P política|,1
\130-VI-00001.json,Manizales,Cali,N81 Exilio - Retorno - Voluntario|,1
\130-VI-00001.json,Montevideo,Argentina,N81 Exilio - Afrontamientos colectivos - P política|,1
\130-VI-00001.json,Montevideo,Portoalegre,N81 Exilio - Afrontamientos colectivos - P política|,1
\130-VI-00001.json,Montevideo,Venezuela,N81 Exilio - Afrontamientos colectivos - P política|,1
\130-VI-00001.json,Portoalegre,Argentina,N81 Exilio - Afrontamientos colectivos - P política|,1
\130-VI-00001.json,Portoalegre,Venezuela,N81 Exilio - Afrontamientos colectivos - P política|,1
\139-VI-00042.json,Estados Unidos,Neiva,N81 Exilio - Retorno - Voluntario|,1
\168-VI-00010.json,Colombia,Venezuela,N81 Exilio - Retorno - Voluntario|,1
\168-VI-00010.json,Cúcuta,Sardinata,N81 Exilio - Estatus migratorio - Deportación|,1
\168-VI-00010.json,Cúcuta,Táchira,N81 Exilio - Estatus migratorio - Deportación|,1
\168-VI-00010.json,Cúcuta,Ureña,N81 Exilio - Estatus migratorio - Deportación|,1
\168-VI-00010.json,San Antonio del Táchira,Sardinata,N81 Exilio - Estatus migratorio - Deportación|,1
\168-VI-00010.json,San Antonio del Táchira,Táchira,N81 Exilio - Estatus migratorio - Deportación|,1
\168-VI-00010.json,San Antonio del Táchira,Ureña,N81 Exilio - Estatus migratorio - Deportación|,1
\168-VI-00010.json,Táchira,Sardinata,N81 Exilio - Estatus migratorio - Migrantes irregulares|,1
\168-VI-00010.json,Táchira,Ureña,N81 Exilio - Estatus migratorio - Migrantes irregulares|,1
\168-VI-00010.json,Táchira,Venezuela,N81 Exilio - Estatus migratorio - Migrantes irregulares|,1
\168-VI-00010.json,Ureña,Sardinata,N81 Exilio - Estatus migratorio - Migrantes irregulares|,1
\168-VI-00010.json,Ureña,Venezuela,N81 Exilio - Estatus migratorio - Migrantes irregulares|,1
\168-VI-00010.json,Venezuela,San Antonio del Táchira,N81 Exilio - Retorno - Forzado|,1
\168-VI-00010.json,Venezuela,Sardinata,N81 Exilio - Exilio - Víctimas exterior|,1
\168-VI-00010.json,Venezuela,Sardinata,N81 Exilio - Políticas|,1
\168-VI-00010.json,Venezuela,Sardinata,N81 Exilio - Retorno - Forzado|,1
\168-VI-00010.json,Venezuela,Táchira,N81 Exilio - Políticas|,1
\168-VI-00010.json,Venezuela,Táchira,N81 Exilio - Retorno - Forzado|,1
\168-VI-00010.json,Venezuela,Ureña,N81 Exilio - Políticas|,1
\168-VI-00010.json,Venezuela,Ureña,N81 Exilio - Retorno - Forzado|,1
\170-VI-00001.json,Bogotá,Cartagena,N81 Exilio - Exilio - Víctimas exterior|,1
\170-VI-00001.json,España,Bogotá,N81 Exilio - Exilio - Víctimas exterior|,1
\170-VI-00001.json,España,Cartagena,N81 Exilio - Exilio - Víctimas exterior|,1
\171-VI-00001.json,Chile,Colombia,N81 Exilio - Relaciones cultura de acogida - Apatía a Colombia|Hechos - Amenaza a la Vida - Amenza Seguimiento|,1
\171-VI-00001.json,Chile,Colombia,N81 Exilio - Retorno - Pendular|,1
\171-VI-00001.json,Roldanillo,Chile,Hechos - Amenaza a la Vida - Amenza Seguimiento|N81 Exilio - Retorno - Pendular|,1
\171-VI-00005.json,Cauca,Cali,N81 Exilio - Relaciones cultura de acogida - Desarraigo|,1
\171-VI-00005.json,Florida,Cali,N81 Exilio - Relaciones cultura de acogida - Desarraigo|,1
\171-VI-00005.json,Florida,Cauca,N81 Exilio - Relaciones cultura de acogida - Desarraigo|,1
\171-VI-00007.json,Bogotá,Bogotá,N81 Exilio - Trayectorias|,1
\171-VI-00007.json,Cali,Madrid,N81 Exilio - Trayectorias|,1
\171-VI-00007.json,Madrid,Madrid,N81 Exilio - Trayectorias|,1
\194-VI-00026.json,Bogotá,Cali,N81 Exilio - Afrontamientos individuales|,1
\194-VI-00026.json,Florencia,Bogotá,N81 Exilio - Afrontamientos individuales|,1
\194-VI-00026.json,Florencia,Cali,N81 Exilio - Afrontamientos individuales|,1
\199-VI-00016.json,Ecuador,Ecuador,N81 Exilio - Retorno - Forzado|Impactos - Impacto DESCA|,1
\199-VI-00016.json,Ecuador,Puerto Asís,N81 Exilio - Retorno - Forzado|Impactos - Impacto DESCA|,1
\199-VI-00016.json,Ecuador,"Puerto Asís, Putumayo",N81 Exilio - Retorno - Forzado|Impactos - Impacto DESCA|,1
\199-VI-00016.json,Orito,Puerto Asís,N81 Exilio - Retorno - Forzado|,1
\199-VI-00016.json,Orito,"Puerto Asís, Putumayo",N81 Exilio - Retorno - Forzado|,1
\199-VI-00016.json,Puerto Asís,Orito,N81 Exilio - Retorno - Forzado|,1
\199-VI-00016.json,Puerto Asís,Puerto Asís,N81 Exilio - Retorno - Forzado|,1
\199-VI-00016.json,Puerto Asís,"Puerto Asís, Putumayo",N81 Exilio - Retorno - Forzado|,1
\199-VI-00024.json,Colombia,Ecuador,Afrontamientos - Personales|N81 Exilio - Víctimas exterior|,1
\199-VI-00024.json,Colombia,Valle del Guamuez,Afrontamientos - Personales|N81 Exilio - Víctimas exterior|,1
